label,diff,nombre_archivo,ruta_completa,carpeta,grupo,id_registro,id_global
Aug-25,-0.061,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,10,109
Sep-25,0.019,ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero\ee-chart Parque Blas de Otero Diferencia mensual NDVI.csv,Parque Blas de Otero,MENSUAL,11,110
Nov-24,0.047,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,1,111
Dec-24,-0.008,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,2,112
Jan-25,0.003,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,3,113
Feb-25,0.001,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,4,114
Mar-25,0.008,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,5,115
Apr-25,-0.026,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,6,116
May-25,0.057,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,7,117
Jun-25,-0.02,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,8,118
Jul-25,0.006,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,9,119
Aug-25,-0.048,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,10,120
Sep-25,-0.012,ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan\ee-chart Parue Breogan Diferenci amensual NDVI.csv,Parque Breogan,MENSUAL,11,121
Nov-24,-0.014,ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel\ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel,MENSUAL,1,122
Dec-24,-0.035,ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel\ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel,MENSUAL,2,123
Jan-25,-0.044,ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel\ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel,MENSUAL,3,124
Feb-25,-0.053,ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel\ee-chart Parque Carabanchel Diferencia mensual NDVI.csv,Parque Carabanchel,MENSUAL,4,125
